iso_3,agriculture_type,representative_administrative_boundary_id,representative_administrative_boundary_name,representative_administrative_boundary_total_star_per_ha,representative_administrative_boundary_agriculture_star_per_ha,max_administrative_boundary_id,max_administrative_boundary_name,max_administrative_boundary_total_star_per_ha,max_administrative_boundary_agriculture_star_per_ha,min_administrative_boundary_id,min_administrative_boundary_name,min_administrative_boundary_total_star_per_ha,min_administrative_boundary_agriculture_star_per_ha
ESH,Crops,ESH.4_1,Oued el Dahab,9.33429E-06,1.2582E-06,ESH.4_1,Oued el Dahab,9.33429E-06,1.2582E-06,ESH.4_1,Oued el Dahab,9.33429E-06,1.2582E-06
ESP,Crops,ESP.5_1,Castilla y León,5.38722E-05,2.89866E-06,ESP.14_1,Islas Canarias,0.010478853,1.59466E-06,ESP.2_1,Aragón,2.43467E-05,3.36281E-06
EST,Crops,EST.6_1,Lääne-Viru,2.85156E-06,2.14348E-07,EST.8_1,Pärnu,1.81214E-05,6.38027E-07,EST.6_1,Lääne-Viru,2.85156E-06,2.14348E-07
ETH,Crops,ETH.8_1,Oromia,0.000529246,0.000105491,ETH.8_1,Oromia,0.000529246,0.000105491,ETH.7_1,Harari People,3.30015E-06,7.16442E-07
FIN,Crops,FIN.5_1,Western Finland,4.05409E-06,2.04228E-07,FIN.2_1,Lapland,3.86592E-05,1.5379E-06,FIN.4_1,Southern Finland,3.01838E-06,3.81533E-07
FJI,Crops,FJI.5_1,Western,0.001921573,0.000150743,FJI.1_1,Central,0.014844143,0.001689182,FJI.4_1,Rotuma,0.00011954,6.96132E-06
FRA,Crops,FRA.10_1,Nouvelle-Aquitaine,1.06804E-05,1.18398E-06,FRA.5_1,Corse,0.002122165,6.17905E-05,FRA.8_1,Île-de-France,1.79599E-06,1.06677E-07
GAB,Crops,GAB.5_1,Nyanga,0.000166364,4.81248E-05,GAB.7_1,Ogooué-Lolo,0.000583114,9.42584E-05,GAB.3_1,Moyen-Ogooué,0.000129279,3.35103E-05
GBR,Crops,GBR.1_1,England,3.79313E-07,3.40202E-08,GBR.4_1,Wales,6.56305E-06,4.66221E-07,GBR.1_1,England,3.79313E-07,3.40202E-08
GEO,Crops,GEO.5_1,Kakheti,1.40847E-05,6.97206E-07,GEO.8_1,Racha-Lechkhumi-Kvemo Svaneti,0.0028115,0.001261977,GEO.6_1,Kvemo Kartli,5.8209E-06,4.58119E-07
GHA,Crops,GHA.6_1,Northern,1.91241E-05,4.07647E-06,GHA.10_1,Western,0.000598012,0.00017163,GHA.5_1,Greater Accra,2.49958E-06,5.34755E-07
GIN,Crops,GIN.8_1,Nzérékoré,0.001275274,0.000356942,GIN.6_1,Labé,0.001297827,0.00045354,GIN.4_1,Kankan,0.000119119,2.88399E-05
GLP,Crops,GLP.2_1,Pointe-à-Pitre,0.002639577,1.93062E-05,GLP.1_1,Basse-Terre,0.04369654,0.003351148,GLP.2_1,Pointe-à-Pitre,0.002639577,1.93062E-05
GMB,Crops,GMB.3_1,Maccarthy Island,8.54528E-06,3.06169E-06,GMB.2_1,Lower River,4.78959E-05,2.13285E-05,GMB.5_1,Upper River,4.21295E-06,1.08299E-06
GNB,Crops,GNB.5_1,Cacheu,4.80601E-05,1.81276E-05,GNB.1_1,Bafatá,0.000476055,0.000226569,GNB.4_1,Bolama,1.52005E-05,2.05385E-06
GNQ,Crops,GNQ.5_1,Kié-Ntem,0.000183324,5.18818E-05,GNQ.2_1,Bioko Norte,0.024610384,0.007364946,GNQ.5_1,Kié-Ntem,0.000183324,5.18818E-05
GRC,Crops,GRC.6_1,Macedonia and Thrace,5.5421E-05,2.4345E-05,GRC.1_1,Aegean,0.001052754,0.000175292,GRC.8_1,Thessaly and Central Greece,2.62095E-05,2.67042E-07
GTM,Crops,GTM.12_1,Petén,8.08118E-05,1.83638E-05,GTM.8_1,Huehuetenango,0.048212319,0.014327997,GTM.15_1,Retalhuleu,2.56801E-05,8.31712E-06
GUF,Crops,GUF.1_1,Cayenne,0.007728175,0.001963033,GUF.1_1,Cayenne,0.007728175,0.001963033,GUF.2_1,Saint-Laurent-du-Maroni,0.000447477,0.000100914
GUY,Crops,GUY.4_1,East Berbice-Corentyne,0.000107799,2.74251E-05,GUY.2_1,Cuyuni-Mazaruni,0.003480694,0.000575491,GUY.5_1,Essequibo Islands-West Demerara,3.74618E-05,1.14705E-05
HKG,Crops,HKG.18_1,Yuen Long,0.019130213,0.000403194,HKG.3_1,Islands,0.04511452,0.000122497,HKG.14_1,Tuen Mun,0.011817518,0.000297425
HND,Crops,HND.15_1,Olancho,0.001566378,0.00028851,HND.14_1,Ocotepeque,0.015165438,0.003341826,HND.2_1,Choluteca,0.000133406,7.4144E-05
HRV,Crops,HRV.11_1,Osjecko-Baranjska,1.32866E-05,1.37904E-06,HRV.3_1,Dubrovacko-Neretvanska,0.001455238,0.00017779,HRV.8_1,Krapinsko-Zagorska,3.54681E-06,1.17777E-07
HTI,Crops,HTI.8_1,Ouest,0.005983031,0.002871228,HTI.2_1,Grand'Anse,0.178552185,0.090791159,HTI.6_1,Nord-Ouest,0.000882088,0.000213179
HUN,Crops,HUN.1_1,Bács-Kiskun,2.49381E-05,6.47704E-06,HUN.4_1,Borsod-Abaúj-Zemplén,0.0004576,2.55997E-06,HUN.3_1,Békés,3.28309E-06,9.04006E-07
IDN,Crops,IDN.12_1,Kalimantan Barat,0.000212134,5.99288E-05,IDN.29_1,Sulawesi Utara,0.015457056,0.005573079,IDN.3_1,Bangka Belitung,3.56845E-05,1.06462E-05
IMN,Crops,IMN.1_1,Ayre,3.163E-06,6.26581E-08,IMN.1_1,Ayre,3.163E-06,6.26581E-08,IMN.1_1,Ayre,3.163E-06,6.26581E-08
IND,Crops,IND.29_1,Rajasthan,1.65354E-05,2.18773E-06,IND.1_1,Andaman and Nicobar,0.065143478,0.015781578,IND.6_1,Chandigarh,0,0
IRL,Crops,IRL.4_1,Cork,2.01653E-06,1.24705E-07,IRL.16_1,Mayo,4.50354E-05,3.07727E-06,IRL.17_1,Meath,1.45888E-07,1.7284E-08
IRN,Crops,IRN.5_1,East Azarbaijan,9.79778E-06,7.8608E-07,IRN.20_1,Mazandaran,0.000246637,6.01586E-05,IRN.10_1,Hamadan,3.23382E-06,2.16828E-07
IRQ,Crops,IRQ.7_1,As-Sulaymaniyah,3.0978E-06,7.51023E-07,IRQ.2_1,Al-Basrah,0.000793426,0.000261656,IRQ.9_1,Babil,1.61362E-06,5.21083E-07
ISR,Crops,ISR.2_1,HaDarom,0.000467882,8.09368E-05,ISR.6_1,Jerusalem,0.003812969,0.000541304,ISR.1_1,Golan,8.79197E-05,1.2152E-07
ITA,Crops,ITA.15_1,Sicily,1.09594E-05,1.78151E-06,ITA.9_1,Liguria,0.001438535,0.000184587,ITA.2_1,Apulia,9.39313E-06,1.86898E-06
JAM,Crops,JAM.1_1,Clarendon,0.013144012,0.003351442,JAM.10_1,Saint James,0.099328727,0.03768037,JAM.14_1,Westmoreland,0.007960368,0.002214666
JOR,Crops,JOR.5_1,Irbid,1.25878E-05,3.01056E-06,JOR.8_1,Ma`an,0.000697298,2.7804E-06,JOR.1_1,Ajlun,4.66945E-07,9.10917E-08
JPN,Crops,JPN.12_1,Hokkaido,3.22138E-05,3.02088E-06,JPN.32_1,Okinawa,0.024314553,0.000556617,JPN.34_1,Saga,2.94364E-05,4.89268E-06
KAZ,Crops,KAZ.10_1,Qostanay,2.37538E-06,3.47227E-07,KAZ.6_1,Mangghystau,0.000121542,1.18179E-05,KAZ.7_1,North Kazakhstan,9.48113E-07,1.27424E-07
KEN,Crops,KEN.18_1,Kitui,3.25649E-05,3.73692E-06,KEN.39_1,Taita Taveta,0.002639729,0.001030583,KEN.27_1,Migori,9.01889E-07,1.48732E-07
KGZ,Crops,KGZ.4_1,Jalal-Abad,9.32801E-06,1.39968E-06,KGZ.8_1,Talas,8.89422E-05,4.01838E-05,KGZ.2_1,Biškek,1.48054E-06,2.88477E-07
KHM,Crops,KHM.2_1,Batdâmbâng,7.55161E-05,1.84262E-05,KHM.14_1,Môndól Kiri,0.003918727,0.001154349,KHM.23_1,Svay Rieng,4.39788E-06,6.42853E-07
KOR,Crops,KOR.9_1,Gyeongsangbuk-do,1.50138E-05,3.46123E-06,KOR.14_1,Jeollanam-do,0.000700548,9.45346E-05,KOR.17_1,Ulsan,9.68575E-06,2.03875E-06
KWT,Crops,KWT.3_1,Al Jahrah,2.06616E-05,2.09579E-06,KWT.3_1,Al Jahrah,2.06616E-05,2.09579E-06,KWT.1_1,Al Ahmadi,9.37081E-06,1.12693E-06
LAO,Crops,LAO.12_1,Savannakhét,0.000142315,3.42166E-05,LAO.17_1,Xékong,0.005663161,0.001756427,LAO.13_1,Vientiane [prefecture],4.62453E-05,6.54269E-06
LBN,Crops,LBN.2_1,Baalbak - Hermel,7.1562E-05,1.55066E-05,LBN.5_1,Mount Lebanon,0.001721711,7.36775E-05,LBN.2_1,Baalbak - Hermel,7.1562E-05,1.55066E-05
LBR,Crops,LBR.12_1,Nimba,0.000422604,0.000115725,LBR.6_1,GrandGedeh,0.001790525,0.000455269,LBR.11_1,Montserrado,7.39765E-06,1.86202E-06
LBY,Crops,LBY.12_1,Benghazi,7.74971E-06,8.20811E-07,LBY.17_1,Nalut,4.9764E-05,4.19454E-06,LBY.20_1,Tripoli,1.10141E-06,1.67952E-07
LKA,Crops,LKA.2_1,Anuradhapura,0.00020691,5.3732E-05,LKA.11_1,Kandy,0.114208982,0.034538767,LKA.9_1,Jaffna,2.28217E-06,1.8058E-07
LSO,Crops,LSO.4_1,Mafeteng,0.000145306,1.10403E-05,LSO.7_1,Mokhotlong,0.001795542,8.3095E-05,LSO.4_1,Mafeteng,0.000145306,1.10403E-05
LTU,Crops,LTU.6_1,Šiauliai,1.45444E-06,1.50702E-07,LTU.1_1,Alytaus,4.44647E-06,4.50555E-07,LTU.4_1,Marijampoles,7.9362E-07,6.82457E-08
LUX,Crops,LUX.1_1,Diekirch,4.3228E-06,2.85747E-07,LUX.1_1,Diekirch,4.3228E-06,2.85747E-07,LUX.2_1,Grevenmacher,2.21061E-06,1.30623E-07
LVA,Crops,LVA.2_1,Latgale,3.85055E-06,2.8007E-07,LVA.4_1,Vidzeme,6.82716E-06,5.02488E-07,LVA.5_1,Zemgale,3.22764E-06,1.73153E-07
MAR,Crops,MAR.8_1,Marrakech - Tensift - Al Haouz,7.41203E-05,1.20488E-05,MAR.12_1,Souss - Massa - Draâ,0.000521872,0.00012634,MAR.1_1,Chaouia - Ouardigha,3.96293E-05,1.07345E-05
MDA,Crops,MDA.36_1,Transnistria,1.4908E-06,3.82805E-07,MDA.17_1,Falesti,9.75663E-05,4.71631E-05,MDA.14_1,Drochia,5.13531E-09,3.04554E-10
