mine_id,relationship,company
25618,operator,Westgold Resources Limited
25618,owner,Westgold Resources Limited
25619,operator,NA
25619,owner,NA
25623,operator,Placer Dome Inc.
25623,owner,Placer Dome Inc.
25625,operator,Gold Fields Limited
25625,owner,Gold Fields Limited
25626,operator,NA
25626,owner,NA
25629,operator,Northern Star Resources Limited
25629,owner,Northern Star Resources Limited
25630,operator,KBL Mining Limited
25630,owner,KBL Mining Limited
25633,operator,Asia Iron Holdings Limited
25633,owner,Asia Iron Holdings Limited
25634,operator,"Shandong Tianye Real Estate Development Group Co., Ltd."
25634,owner,"Shandong Tianye Real Estate Development Group Co., Ltd."
25635,operator,BHP Group
25635,owner,BHP Group
25637,operator,Kaiser Reef Limited
25637,owner,Kaiser Reef Limited
25640,operator,Wiluna Mining Corporation Limited
25640,owner,Wiluna Mining Corporation Limited
25643,operator,Norseman Gold Mines NL
25643,owner,Norseman Gold Mines NL
25651,operator,St Barbara Limited
25651,owner,St Barbara Limited
25655,operator,Auctus Chillagoe Pty Ltd
25655,owner,Auctus Chillagoe Pty Ltd
25657,operator,NA
25657,owner,Hampton Australia Ltd
25658,operator,Westgold Resources Limited
25658,owner,Westgold Resources Limited
25659,operator,Aeris Resources Limited
25659,owner,Aeris Resources Limited
25661,operator,Zijin Mining Group Company Limited
25661,owner,Zijin Mining Group Company Limited
25662,operator,Dacian Gold Limited
25662,owner,Dacian Gold Limited
25668,operator,NA
25668,owner,NA
25669,operator,Yamana Gold Inc.
25669,owner,Yamana Gold Inc.
25671,operator,Compañía de Minas Buenaventura S.A.A.
25671,owner,Compañía de Minas Buenaventura S.A.A.
25672,operator,Minera Otuzco
25672,owner,Minera Otuzco
25674,operator,Endeavour Mining Corporation
25674,owner,Endeavour Mining Corporation
25678,operator,Saudi Arabian Mining Company (Ma’aden)
25678,owner,Saudi Arabian Mining Company (Ma’aden)
25679,operator,OceanaGold Corporation
25679,owner,OceanaGold Corporation
25680,operator,Filminera Resources Corp.
25680,owner,Zoom Minerals Holdings Inc.
25684,operator,Exminesa
25684,owner,Exminesa
25685,operator,EMR Capital Pty. Ltd.
25685,owner,EMR Capital Pty. Ltd.
25687,operator,Lundin Mining Corporation
25687,owner,Lundin Mining Corporation
25690,operator,AngloGold Ashanti Limited
25690,owner,AngloGold Ashanti Limited
25691,operator,Yamana Gold Inc.
25691,owner,Yamana Gold Inc.
25692,operator,NA
25692,owner,Mines D'Or De Salsigne
25693,operator,Newmont Corporation
25693,owner,Newmont Corporation
25694,operator,NQ Minerals Plc
25694,owner,NQ Minerals Plc
25695,operator,Glencore Plc
25695,owner,Glencore Plc
25698,operator,Barrick Gold Corporation
25698,owner,Barrick Gold Corporation
25699,operator,Red River Resources Limited
25699,owner,Red River Resources Limited
25700,operator,Perilya Limited
25700,owner,Shenzhen Zhongjin Lingnan Nonfemet Company Limited
25705,operator,Superior Lake Resources Limited
25705,owner,Superior Lake Resources Limited
25708,operator,Vatukoula Gold Mines Plc
25708,owner,Vatukoula Gold Mines Plc
25710,operator,Compañía de Minas Buenaventura S.A.A.
25710,owner,Compañía de Minas Buenaventura S.A.A.
25711,operator,Compañía Minera Poderosa S.A.
25711,owner,Compañía Minera Poderosa S.A.
25712,operator,NA
25712,owner,Aurifera Carolina
25713,operator,Colossus Minerals Inc.
25713,owner,Colossus Minerals Inc.
25715,operator,Ok Tedi Mining Limited
25715,owner,Ok Tedi Mining Limited
25716,operator,"Coeur Mining, Inc."
25716,owner,"Coeur Mining, Inc."
25718,operator,NA
25718,owner,NA
25720,operator,Hudbay Minerals Inc.
25720,owner,Hudbay Minerals Inc.
25721,operator,Hindustan Zinc Limited
25721,owner,Hindustan Zinc Limited
25723,operator,Fresnillo Plc
25723,owner,Fresnillo Plc
25725,operator,Golden Minerals Company
25725,owner,Golden Minerals Company
25726,operator,"Industrias Peñoles, S.A.B. de C.V."
25726,owner,"Industrias Peñoles, S.A.B. de C.V."
25727,operator,Compania Minera San Ignacio de Morococha S.A.A.
25727,owner,Compania Minera San Ignacio de Morococha S.A.A.
25729,operator,Corporacion Minera de Bolivia
25729,owner,Corporacion Minera de Bolivia
25730,operator,Glencore Plc
25730,owner,Corporacion Minera de Bolivia
25732,operator,"China Nonferrous Metal Mining (Group) Co.,Ltd."
25732,owner,"China Nonferrous Metal Mining (Group) Co.,Ltd."
25734,operator,Sudanese Mining Corp.
25734,owner,Republic of the Sudan
25736,operator,AngloGold Ashanti Limited
25736,owner,AngloGold Ashanti Limited
25738,operator,NA
25738,owner,NA
25747,operator,Glencore Plc
25747,owner,Glencore Plc
