iso_3,agriculture_type,total_star
PYF,Livestock,93.34074593
QAT,Crops,0.559292358
QAT,Livestock,0.063839346
REU,Crops,960.0241983
REU,Livestock,49.66627026
ROU,Crops,436.6597316
ROU,Livestock,72.64746034
RUS,Crops,2428.210283
RUS,Livestock,532.2662811
RWA,Crops,1287.004154
RWA,Livestock,514.6259286
SAU,Crops,287.1698229
SAU,Livestock,778.3207723
SDN,Crops,328.6191959
SDN,Livestock,281.965123
SEN,Crops,206.8081642
SEN,Livestock,85.60955577
SGP,Crops,2.608493018
SGP,Livestock,0
SGS,Crops,0
SGS,Livestock,0
SHN,Crops,200.0000019
SHN,Livestock,63.0378418
SJM,Crops,0
SJM,Livestock,0
SLB,Crops,1399.95878
SLB,Livestock,19.39464951
SLE,Crops,755.7689732
SLE,Livestock,371.5812463
SLV,Crops,174.003058
SLV,Livestock,74.82116917
SMR,Crops,0.007933337
SMR,Livestock,0
SOM,Crops,579.7202185
SOM,Livestock,1847.154151
SPM,Crops,0
SPM,Livestock,0
SRB,Crops,25.60151779
SRB,Livestock,2.941397609
SSD,Crops,433.1817332
SSD,Livestock,405.7696362
STP,Crops,2210.303005
STP,Livestock,0
SUR,Crops,17.99411223
SUR,Livestock,0.199629446
SVK,Crops,32.82961308
SVK,Livestock,12.37705178
SVN,Crops,66.04232739
SVN,Livestock,2.583580002
SWE,Crops,25.31947683
SWE,Livestock,0.570426553
SWZ,Crops,121.4444054
SWZ,Livestock,93.33344643
SXM,Crops,0.321630538
SXM,Livestock,0
SYC,Crops,752.085395
SYC,Livestock,0
SYR,Crops,68.51524423
SYR,Livestock,59.58231857
TCA,Crops,2.738531434
TCA,Livestock,0
TCD,Crops,215.9997058
TCD,Livestock,313.5540626
TGO,Crops,192.9749643
TGO,Livestock,18.53986088
THA,Crops,3065.254707
THA,Livestock,172.891228
TJK,Crops,26.20889768
TJK,Livestock,19.26830673
TKL,Crops,0
TKL,Livestock,0
TKM,Crops,29.48199027
TKM,Livestock,104.6919707
TLS,Crops,720.386334
TLS,Livestock,174.1780643
TON,Crops,85.75477787
TON,Livestock,0
TTO,Crops,318.9702926
TTO,Livestock,5.783599019
TUN,Crops,53.43351115
TUN,Livestock,34.08558231
TUR,Crops,3020.244072
TUR,Livestock,668.0352428
TUV,Crops,0.017651845
TUV,Livestock,0
TWN,Crops,2314.689551
TWN,Livestock,13.00219341
TZA,Crops,21983.03195
TZA,Livestock,8964.711748
UGA,Crops,1442.472838
UGA,Livestock,645.6488739
